Entity,Code,Year,Lower_secondary_education,Pre-primary_education,Primary_education,Tertiary_education_programmes,Upper_secondary_education,Total
Afghanistan,AFG,1970,,42,13116,793,,13951
Afghanistan,AFG,1971,,42,14651,,,14693
Afghanistan,AFG,1972,,65,14796,972,,15833
Afghanistan,AFG,1973,,73,16293,1264,,17630
Afghanistan,AFG,1974,,74,17579,982,,18635
Afghanistan,AFG,1975,,95,18558,,,18653
Afghanistan,AFG,1976,,164,20406,,,20570
Afghanistan,AFG,1977,,220,,,,220
Afghanistan,AFG,1979,,,,1448,,1448
Afghanistan,AFG,1980,,369,,,,369
Afghanistan,AFG,1981,,430,,,,430
Afghanistan,AFG,1982,,319,,1724,,2043
Afghanistan,AFG,1984,,739,,,,739
Afghanistan,AFG,1985,,873,,,,873
Afghanistan,AFG,1986,,1505,,,,1505
Afghanistan,AFG,1987,,,,1418,,1418
Afghanistan,AFG,1989,,,17089,,,17089
Afghanistan,AFG,1990,,,15106,1342,,16448
Afghanistan,AFG,1993,,,16160,,,16160
Afghanistan,AFG,1994,,,20055,,,20055
Afghanistan,AFG,1999,,,26385,,,26385
Afghanistan,AFG,2003,,3351,,1688,,5039
Afghanistan,AFG,2004,,,,1781,,1781
Afghanistan,AFG,2006,,,110313,,,110313
Afghanistan,AFG,2007,23539,,110312,,9278,119590
Afghanistan,AFG,2008,33902,,113763,,,113763
Afghanistan,AFG,2009,30775,,115454,3342,,118796
Afghanistan,AFG,2010,33856,,118858,,,118858
Afghanistan,AFG,2011,34247,,121593,3057,,124650
Afghanistan,AFG,2012,34990,,129093,,,129093
Afghanistan,AFG,2013,34838,,130957,,,130957
Afghanistan,AFG,2014,,,,11002,,11002
Albania,ALB,1971,,2460,,926,,3386
Albania,ALB,1972,,2713,,1153,,3866
Albania,ALB,1978,,,,1015,,1015
Albania,ALB,1980,,3997,,,,3997
Albania,ALB,1981,,4162,,1103,,5265
Albania,ALB,1982,,4430,,,,4430
Albania,ALB,1983,,4480,,1240,,5720
Albania,ALB,1984,,4600,,1360,,5960
Albania,ALB,1985,,4753,,1502,,6255
Albania,ALB,1986,,4850,,1468,,6318
